chrX	137793449	137793546	2xHAR.1	20
chr20	61733465	61733626	2xHAR.2	20
chr2	236773920	236774088	2xHAR.3	20
chrX	137720980	137720996	2xHAR.4	13.405
chr13	73114992	73115418	2xHAR.5	11.055
chr21	19398742	19398834	2xHAR.6	10.479
chr1	224898815	224898858	2xHAR.7	10.37
chr15	98255868	98256049	2xHAR.8	10.304
chr20	708975	709065	2xHAR.9	10.12
chr2	113992949	113993240	2xHAR.10	9.595
chr18	54578345	54578361	2xHAR.11	9.558
chr2	177683196	177683218	2xHAR.12	8.869
chr20	36479548	36479669	2xHAR.13	8.804
chr5	168998530	168998612	2xHAR.14	8.67
chr8	38238170	38238202	2xHAR.15	8.65
chr18	59296701	59296909	2xHAR.16	8.583
chr16	7472518	7472583	2xHAR.17	8.466
chr13	71723997	71724211	2xHAR.18	8.404
chr9	13755747	13756162	2xHAR.19	8.278
chr2	119067165	119067744	2xHAR.20	8.277
chr16	80079855	80080101	2xHAR.21	8.177
chr5	35041966	35042016	2xHAR.22	8.133
chr18	57020458	57020535	2xHAR.23	8.065
chr7	134380108	134380266	2xHAR.24	8.004
chr1	82497708	82497737	2xHAR.25	7.983
chr7	2205988	2206106	2xHAR.26	7.89
chr10	9241944	9242590	2xHAR.27	7.862
chr9	1045539	1045584	2xHAR.28	7.795
chr8	129614939	129614953	2xHAR.29	7.793
chr4	182581423	182581888	2xHAR.30	7.488
chr15	36391472	36391801	2xHAR.31	7.469
chr11	125220634	125220648	2xHAR.32	7.422
chr16	79199642	79199944	2xHAR.33	7.384
chr2	145868685	145868772	2xHAR.34	7.371
chr16	79202470	79202492	2xHAR.35	7.263
chr20	656389	656581	2xHAR.36	7.153
chr14	30604123	30604617	2xHAR.37	7.051
chr20	15397675	15397718	2xHAR.38	6.945
chr2	21475295	21475541	2xHAR.39	6.941
chr2	206027922	206027940	2xHAR.40	6.929
chr2	22181799	22181901	2xHAR.41	6.899
chr20	8633372	8633474	2xHAR.42	6.862
chr1	243502411	243502466	2xHAR.43	6.861
chr14	37608254	37608606	2xHAR.44	6.859
chr2	114489154	114489227	2xHAR.45	6.83
chr20	60204639	60204669	2xHAR.46	6.802
chr3	170819855	170819877	2xHAR.47	6.762
chr14	47309413	47309738	2xHAR.48	6.754
chr2	66913928	66914219	2xHAR.49	6.693
chr4	53463734	53463752	2xHAR.50	6.685
chr2	220728202	220728252	2xHAR.51	6.675
chr14	76787274	76787339	2xHAR.52	6.642
chr17	2202961	2203098	2xHAR.53	6.635
chr9	14789369	14789438	2xHAR.54	6.632
chr10	108809455	108809535	2xHAR.55	6.587
chr4	164448634	164448658	2xHAR.56	6.523
chr7	115369331	115369504	2xHAR.57	6.511
chr18	59069077	59069099	2xHAR.58	6.482
chr1	83220917	83221206	2xHAR.59	6.456
chr4	28979995	28980020	2xHAR.60	6.431
chr2	182699938	182699996	2xHAR.61	6.417
chr11	118796334	118796366	2xHAR.62	6.415
chr3	4774769	4774910	2xHAR.63	6.388
chr3	175200174	175200198	2xHAR.64	6.384
chr21	17828743	17828823	2xHAR.65	6.309
chr6	149187839	149187923	2xHAR.66	6.303
chr18	26311661	26311685	2xHAR.67	6.277
chr4	84922908	84923066	2xHAR.68	6.266
chr9	24545829	24545852	2xHAR.69	6.265
chr5	164259707	164260156	2xHAR.70	6.256
chr2	177744441	177744683	2xHAR.71	6.19
chr21	22365769	22365861	2xHAR.72	6.177
chrX	138288778	138288890	2xHAR.73	6.175
chr8	65939057	65939287	2xHAR.74	6.142
chr7	15392079	15392158	2xHAR.76	6.102
chr3	182236440	182236614	2xHAR.77	6.094
chr6	142311648	142311662	2xHAR.78	6.089
chr10	8576186	8576379	2xHAR.79	6.086
chr10	17560608	17560773	2xHAR.80	6.082
chr6	50201923	50202280	2xHAR.81	6.078
chr14	28599682	28600287	2xHAR.82	6.069
chr4	130202840	130202945	2xHAR.83	6.056
chr16	82974294	82974320	2xHAR.84	6.056
chr8	4019670	4019710	2xHAR.85	6.053
chr9	36741023	36741072	2xHAR.86	6.048
chr11	115648341	115648526	2xHAR.87	6.037
chr21	32458054	32458084	2xHAR.88	6.025
chr4	178273147	178273288	2xHAR.89	5.999
chr4	81120219	81120255	2xHAR.90	5.998
chr20	41953947	41953966	2xHAR.91	5.996
chr20	39462482	39462708	2xHAR.92	5.996
chr16	73129339	73129596	2xHAR.93	5.993
chr11	30592916	30592955	2xHAR.95	5.976
chr8	115118463	115118491	2xHAR.96	5.964
chr1	88615792	88616583	2xHAR.97	5.952
chr21	18215682	18215785	2xHAR.98	5.941
chr16	79451656	79451669	2xHAR.99	5.938
chr12	41906970	41906983	2xHAR.100	5.912
chr9	16708803	16709051	2xHAR.101	5.881
chr9	109193539	109193575	2xHAR.102	5.876
chr3	68971845	68971887	2xHAR.104	5.84
chr7	19617094	19617192	2xHAR.105	5.815
chr12	3600750	3600766	2xHAR.106	5.814
chr7	20493018	20493050	2xHAR.107	5.812
chr4	124317982	124317996	2xHAR.108	5.794
chr11	35446122	35446136	2xHAR.109	5.772
chr1	79757839	79757959	2xHAR.110	5.768
chr4	107355896	107355929	2xHAR.111	5.767
chr3	174629661	174629800	2xHAR.112	5.765
chr21	35467109	35467184	2xHAR.113	5.755
chr20	30425274	30425391	2xHAR.114	5.754
chr2	208297558	208297686	2xHAR.115	5.752
chr11	116045114	116045261	2xHAR.116	5.746
chr16	82295209	82295339	2xHAR.117	5.726
chr13	39357190	39357318	2xHAR.118	5.716
chr2	142547742	142547792	2xHAR.119	5.714
chr14	26365042	26365123	2xHAR.120	5.705
chr16	78992118	78992441	2xHAR.121	5.703
chr14	34261807	34262043	2xHAR.122	5.694
chr17	2141721	2141974	2xHAR.123	5.68
chr13	68194887	68195041	2xHAR.124	5.66
chr13	73115467	73115548	2xHAR.125	5.658
chr6	50924153	50924213	2xHAR.126	5.65
chr3	76414557	76414895	2xHAR.127	5.648
chr16	7277412	7277522	2xHAR.128	5.642
chr8	117487847	117487863	2xHAR.129	5.622
chr6	2111549	2111837	2xHAR.130	5.613
chr16	81151100	81151139	2xHAR.131	5.612
chr10	8546863	8547027	2xHAR.132	5.587
chr15	37743703	37743717	2xHAR.133	5.585
chr10	113172816	113172829	2xHAR.134	5.585
chr11	8378835	8378871	2xHAR.135	5.574
chr9	8160567	8160695	2xHAR.136	5.571
chr1	61449446	61449477	2xHAR.137	5.563
chr5	3778279	3778337	2xHAR.138	5.544
chrX	147328163	147328181	2xHAR.139	5.527
chr16	78517526	78517671	2xHAR.140	5.522
chr6	31237979	31238212	2xHAR.141	5.513
chr14	34048650	34048815	2xHAR.142	5.511
chr7	144873995	144874042	2xHAR.143	5.51
chr9	2050744	2050961	2xHAR.144	5.508
chr9	19943491	19943506	2xHAR.145	5.506
chr16	4663129	4663181	2xHAR.146	5.492
chr4	102113025	102113084	2xHAR.147	5.486
chr2	172977975	172977988	2xHAR.148	5.481
chr7	1277112	1277145	2xHAR.149	5.476
chr2	206146719	206146744	2xHAR.150	5.474
chr1	119279491	119279507	2xHAR.151	5.46
chr9	2621396	2621609	2xHAR.152	5.459
chr20	6956241	6956311	2xHAR.153	5.454
chr4	109770508	109770551	2xHAR.154	5.453
chr2	22657837	22657908	2xHAR.155	5.437
chr9	16718052	16718274	2xHAR.156	5.436
chr14	34160095	34160414	2xHAR.157	5.428
chr2	192723807	192723925	2xHAR.158	5.427
chr12	67372856	67372899	2xHAR.159	5.427
chr1	74361724	74361861	2xHAR.160	5.417
chr7	120276623	120276646	2xHAR.161	5.415
chr20	7886155	7886178	2xHAR.162	5.408
chr9	16138954	16138978	2xHAR.163	5.407
chr2	133346979	133347075	2xHAR.164	5.407
chr7	13874488	13874506	2xHAR.165	5.405
chr18	44929976	44930069	2xHAR.166	5.392
chr4	138785142	138785399	2xHAR.167	5.391
chr17	63534630	63534785	2xHAR.168	5.363
chr1	53793546	53793584	2xHAR.169	5.363
chr5	153640308	153640363	2xHAR.170	5.344
chr18	50140922	50140940	2xHAR.171	5.342
chr9	13829440	13829454	2xHAR.172	5.341
